sales-trends
Report range
Current, 5/05/2026,  
Comparison, 5/04/2026,  

"Current","Current Gross sales","Comparison","Comparison Gross sales"
"12 AM","$0.00","12 AM","$0.00"
"1 AM","$0.00","1 AM","$0.00"
"2 AM","$0.00","2 AM","$0.00"
"3 AM","$0.00","3 AM","$0.00"
"4 AM","$0.00","4 AM","$0.00"
"5 AM","$0.00","5 AM","$0.00"
"6 AM","$0.00","6 AM","$0.00"
"7 AM","$0.00","7 AM","$0.00"
"8 AM","$0.00","8 AM","$0.00"
"9 AM","$0.00","9 AM","$0.00"
"10 AM","$0.00","10 AM","$0.00"
"11 AM","$0.00","11 AM","$0.00"
"12 PM","$0.00","12 PM","$0.00"
"1 PM","$0.00","1 PM","$0.00"
"2 PM","$0.00","2 PM","$0.00"
"3 PM","$0.00","3 PM","$0.00"
"4 PM","$0.00","4 PM","$0.00"
"5 PM","$0.00","5 PM","$0.00"
"6 PM","$0.00","6 PM","$0.00"
"7 PM","$0.00","7 PM","$0.00"
"8 PM","$0.00","8 PM","$0.00"
"9 PM","$0.00","9 PM","$0.00"
"10 PM","$0.00","10 PM","$0.00"
"11 PM","$0.00","11 PM","$0.00"

sales-trends
Report range
Current, 4/29/2026, 5/05/2026 
Comparison, 4/22/2026, 4/28/2026 

"Current","Current Gross sales","Comparison","Comparison Gross sales"
"Apr 29, 2026","$454.27","Apr 22, 2026","$299.00"
"Apr 30, 2026","$451.00","Apr 23, 2026","$367.00"
"May 1, 2026","$592.00","Apr 24, 2026","$369.22"
"May 2, 2026","$1,021.00","Apr 25, 2026","$356.00"
"May 3, 2026","$427.00","Apr 26, 2026","$338.00"
"May 4, 2026","$0.00","Apr 27, 2026","$0.00"
"May 5, 2026","$0.00","Apr 28, 2026","$0.00"

sales-trends
Report range
Current, 1/01/2026, 12/31/2026 
Comparison, 1/01/2025, 12/31/2025 

"Current","Current Gross sales","Comparison","Comparison Gross sales"
"Jan 2026","$11,482.61","Jan 2025","$17,350.42"
"Feb 2026","$10,204.56","Feb 2025","$18,806.68"
"Mar 2026","$12,182.29","Mar 2025","$18,598.41"
"Apr 2026","$8,785.09","Apr 2025","$14,997.91"
"May 2026","$2,040.00","May 2025","$15,264.46"
"Jun 2026","$0.00","Jun 2025","$10,942.29"
"Jul 2026","$0.00","Jul 2025","$11,235.67"
"Aug 2026","$0.00","Aug 2025","$11,991.59"
"Sep 2026","$0.00","Sep 2025","$9,964.69"
"Oct 2026","$0.00","Oct 2025","$11,204.22"
"Nov 2026","$0.00","Nov 2025","$10,373.34"
"Dec 2026","$0.00","Dec 2025","$9,613.73"

